,party_rk,date_time,story_id,category,event,food recommendation,like travelling,recommend_destination,investment interest
0,64266,2019-12-01 13:05:31,3840,39,like,0,0,,0
1,55721,2019-12-01 13:18:08,3857,39,like,0,0,,0
2,27563,2019-12-01 13:25:40,3174,78,like,0,0,,0
3,61223,2019-12-01 13:25:20,3857,39,like,0,0,,0
4,61223,2019-12-01 13:29:05,3765,73,like,0,0,,0
5,87324,2019-12-27 10:27:11,2319,81,like,0,1,Самуи,0
6,64971,2019-12-27 11:06:13,4075,44,like,0,0,,0
7,43081,2019-12-21 10:46:12,4018,81,like,0,0,,0
8,53923,2019-12-01 13:12:56,3116,16,like,0,0,,0
9,48382,2019-12-10 12:06:47,3840,39,like,0,0,,0
10,85548,2019-12-01 13:27:43,3846,39,like,0,0,,0
11,78406,2019-12-01 13:31:59,3846,39,like,0,0,,0
12,60388,2019-12-01 13:36:04,3840,39,favorite,0,0,,0
13,46954,2019-12-01 14:08:50,3840,39,like,0,0,,0
14,87324,2019-12-21 13:43:55,4009,39,like,0,0,,0
15,61223,2019-12-01 13:27:28,2930,68,like,0,0,,0
16,46954,2019-12-01 14:09:20,3857,39,like,0,0,,0
17,70871,2019-12-01 14:03:41,3846,39,like,0,0,,0
18,49196,2019-12-01 14:16:29,2492,15,favorite,0,0,,0
19,24661,2019-12-01 14:15:41,2930,68,like,0,0,,0
20,20059,2019-12-01 14:24:25,3840,39,like,0,0,,0
21,61592,2019-12-01 14:36:03,3840,39,like,0,0,,0
22,74596,2019-12-01 14:38:45,3840,39,like,0,0,,0
23,77184,2019-12-01 14:40:48,3857,39,like,0,0,,0
24,78941,2019-12-01 14:41:01,3857,39,like,0,0,,0
25,52998,2019-12-01 15:00:26,3846,39,like,0,0,,0
26,88304,2019-12-01 15:19:57,3857,39,like,0,0,,0
27,49855,2019-12-01 15:43:56,3857,39,like,0,0,,0
28,17137,2019-12-01 16:08:50,3840,39,like,0,0,,0
29,27508,2019-12-01 16:05:19,3857,39,like,0,0,,0
30,44544,2019-12-01 16:03:12,3857,39,like,0,0,,0
31,17137,2019-12-01 16:08:43,3857,39,like,0,0,,0
32,88246,2019-12-01 16:12:27,3840,39,favorite,0,0,,0
33,64971,2019-12-27 11:06:19,4075,44,favorite,0,0,,0
34,11221,2019-12-27 11:54:41,4084,39,like,0,0,,0
35,12262,2019-12-21 12:11:29,4009,39,like,0,0,,0
36,49165,2019-12-21 12:39:12,4010,39,favorite,0,0,,0
37,50803,2019-12-21 12:39:11,3943,71,like,0,0,,0
38,83114,2019-12-10 11:43:27,3930,16,like,0,0,,0
39,52173,2019-12-10 11:55:13,3921,16,like,0,0,,0
40,45811,2019-12-18 05:58:06,3978,81,dislike,0,0,,0
41,9552,2019-12-18 09:04:57,3978,81,like,0,0,,0
42,70088,2019-12-21 11:22:38,3945,81,like,0,0,,0
43,8009,2019-12-01 15:22:47,3840,39,favorite,0,0,,0
44,38486,2019-12-01 15:33:40,3840,39,favorite,0,0,,0
45,7361,2019-12-01 15:40:58,3846,39,like,0,0,,0
46,45697,2019-12-01 15:41:55,3840,39,favorite,0,0,,0
47,91111,2019-12-01 16:39:01,3840,39,like,0,0,,0
48,11755,2019-12-21 08:15:21,3978,81,dislike,0,0,,0
49,24581,2019-12-21 10:31:13,4004,39,like,0,0,,0
50,2010,2019-12-21 10:37:19,3978,81,dislike,0,0,,0
51,87324,2019-12-21 10:42:51,4021,15,like,0,0,,0
52,70088,2019-12-21 11:22:04,3930,16,dislike,0,0,,0
53,43368,2019-12-02 18:23:34,3840,39,like,0,0,,0
54,8049,2019-12-02 18:33:44,3837,51,favorite,0,0,,0
